Rk,Player,Age,Pos,Tm,,Opp,,Date,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM
179,Patrick McCaw\mccawpa01,21-209,G,GSW,@,SAS,W,2017-05-22 *,1,17,2,4,.500,0,0,,2,4,.500,0,0,,1,3,4,2,0,1,0,3,6,6.5,8.0
180,JaVale McGee\mcgeeja01,29-123,C,GSW,@,SAS,W,2017-05-22 *,0,7,1,1,1.000,1,1,1.000,0,0,,0,0,,1,2,3,0,0,1,1,1,2,2.3,-0.3
181,Patty Mills\millspa02,28-284,G,SAS,,GSW,L,2017-05-22 *,1,30,4,13,.308,1,4,.250,3,9,.333,3,3,1.000,1,3,4,3,0,1,3,1,14,7.5,-6.9
182,Dejounte Murray\murrade01,20-245,G,SAS,,GSW,L,2017-05-22 *,0,29,2,7,.286,2,7,.286,0,0,,5,7,.714,1,1,2,7,5,0,3,3,9,10.8,1.0
183,Jonathon Simmons\simmojo02,27-250,G-F,SAS,,GSW,L,2017-05-22 *,1,25,5,15,.333,4,12,.333,1,3,.333,2,4,.500,1,4,5,4,1,1,0,3,13,8.9,-3.0
184,Klay Thompson\thompkl01,27-103,G-F,GSW,@,SAS,W,2017-05-22 *,1,34,3,13,.231,2,8,.250,1,5,.200,3,4,.750,0,6,6,1,0,0,0,2,10,3.4,-10.5
185,David West\westda01,36-266,F-C,GSW,@,SAS,W,2017-05-22 *,0,14,2,2,1.000,2,2,1.000,0,0,,0,0,,0,3,3,1,0,0,0,2,4,4.2,2.3
186,Avery Bradley\bradlav01,26-176,G,BOS,@,CLE,W,2017-05-21 *,1,42,8,23,.348,5,15,.333,3,8,.375,1,2,.500,1,2,3,4,2,0,0,1,20,12.4,-4.5
187,Jaylen Brown\brownja02,20-209,F-G,BOS,@,CLE,W,2017-05-21 *,0,13,0,3,.000,0,2,.000,0,1,.000,0,0,,0,2,2,1,1,1,1,3,0,-1.3,-15.3
188,Jae Crowder\crowdja01,26-319,F,BOS,@,CLE,W,2017-05-21 *,1,40,6,14,.429,4,6,.667,2,8,.250,0,0,,2,9,11,4,3,0,1,4,14,13.9,-0.1
189,Gerald Green\greenge01,31-115,G-F,BOS,@,CLE,W,2017-05-21 *,0,7,2,4,.500,1,2,.500,1,2,.500,0,0,,0,2,2,1,0,0,1,1,5,2.9,-1.8
190,Al Horford\horfoal01,30-352,C-F,BOS,@,CLE,W,2017-05-21 *,1,36,7,18,.389,5,12,.417,2,6,.333,0,0,,0,2,2,6,1,0,1,3,16,9.8,-3.9
191,Kyrie Irving\irvinky01,25-059,G,CLE,,BOS,L,2017-05-21 *,1,40,10,15,.667,6,9,.667,4,6,.667,5,5,1.000,0,2,2,7,1,0,3,1,29,25.6,9.6
192,LeBron James\jamesle01,32-142,F-G,CLE,,BOS,L,2017-05-21 *,1,45,4,13,.308,4,9,.444,0,4,.000,3,6,.500,1,5,6,6,1,1,6,2,11,3.6,-12.5
193,Richard Jefferson\jefferi01,36-334,F,CLE,,BOS,L,2017-05-21 *,0,4,0,3,.000,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,-1.4,-36.8
194,Jonas Jerebko\jerebjo01,30-080,F,BOS,@,CLE,W,2017-05-21 *,0,13,4,4,1.000,2,2,1.000,2,2,1.000,0,0,,1,4,5,1,0,1,0,3,10,10.9,22.8
195,Amir Johnson\johnsam01,30-020,F-C,BOS,@,CLE,W,2017-05-21 *,1,9,1,1,1.000,1,1,1.000,0,0,,0,0,,2,0,2,0,0,0,0,2,2,2.3,-6.6
196,Kyle Korver\korveky01,36-065,G-F,CLE,,BOS,L,2017-05-21 *,0,15,1,5,.200,0,0,,1,5,.200,0,0,,0,1,1,0,2,0,0,1,3,1.8,-5.4
197,Kevin Love\loveke01,28-256,F,CLE,,BOS,L,2017-05-21 *,1,36,8,16,.500,1,3,.333,7,13,.538,5,6,.833,1,9,10,3,0,2,2,2,28,23.7,12.8
198,Kelly Olynyk\olynyke01,26-032,C-F,BOS,@,CLE,W,2017-05-21 *,0,23,5,8,.625,4,5,.800,1,3,.333,4,4,1.000,1,2,3,1,0,0,0,4,15,11.8,1.8
199,Terry Rozier\roziete01,23-065,G,BOS,@,CLE,W,2017-05-21 *,0,8,1,2,.500,1,2,.500,0,0,,0,0,,1,1,2,0,1,0,3,1,2,-0.4,-19.3
200,Iman Shumpert\shumpim01,26-329,G,CLE,,BOS,L,2017-05-21 *,0,16,2,4,.500,2,2,1.000,0,2,.000,2,2,1.000,0,4,4,2,0,0,0,1,6,6.2,1.1
201,Marcus Smart\smartma01,23-076,G,BOS,@,CLE,W,2017-05-21 *,1,41,8,14,.571,1,4,.250,7,10,.700,4,6,.667,2,3,5,7,2,1,2,1,27,27.1,14.6
202,J.R. Smith\smithjr01,31-254,G-F,CLE,,BOS,L,2017-05-21 *,1,33,4,8,.500,0,0,,4,8,.500,1,2,.500,1,7,8,0,0,0,0,2,13,10.6,1.6
203,Tristan Thompson\thomptr01,26-069,F-C,CLE,,BOS,L,2017-05-21 *,1,42,3,4,.750,3,4,.750,0,0,,12,15,.800,7,6,13,1,0,1,2,1,18,20.9,2.9
204,Deron Williams\willide01,32-329,G,CLE,,BOS,L,2017-05-21 *,0,9,0,2,.000,0,2,.000,0,0,,0,0,,0,1,1,2,1,0,2,1,0,-1.1,-16.9
205,Tyler Zeller\zellety01,27-124,F-C,BOS,@,CLE,W,2017-05-21 *,0,7,0,0,,0,0,,0,0,,0,0,,1,0,1,3,0,0,0,0,0,2.8,13.3
206,LaMarcus Aldridge\aldrila01,31-305,F-C,SAS,,GSW,L,2017-05-20 *,1,28,7,17,.412,6,15,.400,1,2,.500,3,4,.750,2,3,5,1,0,2,1,2,18,11.1,0.3
207,Kyle Anderson\anderky01,23-242,F-G,SAS,,GSW,L,2017-05-20 *,1,20,3,3,1.000,3,3,1.000,0,0,,0,0,,2,7,9,5,0,1,1,3,6,10.6,12.1
208,Joel Anthony\anthojo01,34-284,C,SAS,,GSW,L,2017-05-20 *,0,1,0,0,,0,0,,0,0,,0,1,.000,0,1,1,0,0,0,0,0,0,-0.1,-13.4
209,Matt Barnes\barnema02,37-072,F,GSW,@,SAS,W,2017-05-20 *,0,5,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,1,0,0,1,0,-0.1,-5.4
210,Dāvis Bertāns\bertada01,24-189,F,SAS,,GSW,L,2017-05-20 *,0,20,1,3,.333,1,1,1.000,0,2,.000,0,0,,2,2,4,0,2,0,1,1,2,2.9,-2.8
211,Ian Clark\clarkia01,26-074,G,GSW,@,SAS,W,2017-05-20 *,0,16,3,5,.600,2,2,1.000,1,3,.333,0,0,,1,1,2,0,0,0,1,1,7,4.3,-1.3
